tolerance	orthoani_group	method	truth_pairs	computed_pairs	computed_fraction	within_pairs	ani_recovery	mae	mse	rmse	runtime_min_12000	speedup_vs_fastani	runtime_min_300_local	speedup_vs_fastani_300_local	runtime_source	target_genomes
1.000000	All pairs	fastANI	45150	45150	1.000000	705	0.015615	2.709780	7.659573	2.767593	29040.000000	1.000000	50.103667	1.000000	user-provided 12,000-genome fastANI runtime	12000
1.000000	All pairs	superani	45150	41974	0.929657	975	0.021595	2.427046	6.244243	2.498848	4258.135600	6.819886	9.364000	5.350669	user-provided 12,000-genome skani/superani real time	12000
1.000000	All pairs	TurboANI-sensitive	45150	45150	1.000000	8323	0.184341	1.320840	1.881955	1.371844	3307.105265	8.781093	9.648833	5.192718	estimated from 12,000-genome default runtime multiplied by the 300-genome sensitive/default runtime ratio	12000
1.000000	All pairs	TurboANI-default	45150	45133	0.999623	1695	0.037542	2.407485	6.265253	2.503049	1418.000000	20.479549	4.137167	12.110623	user-provided 12,000-genome default-mode runtime	12000
1.000000	All pairs	TurboANI-fast	45150	43062	0.953754	1260	0.027907	3.599797	14.035409	3.746386	709.000000	40.959097	2.001000	25.039314	user-provided 12,000-genome fast-mode runtime	12000
1.000000	75-90	fastANI	43714	43714	1.000000	79	0.001807	2.740463	7.725684	2.779512	29040.000000	1.000000	50.103667	1.000000	user-provided 12,000-genome fastANI runtime	12000
1.000000	75-90	superani	43714	41106	0.940339	182	0.004163	2.471090	6.370345	2.523954	4258.135600	6.819886	9.364000	5.350669	user-provided 12,000-genome skani/superani real time	12000
1.000000	75-90	TurboANI-sensitive	43714	43714	1.000000	7518	0.171982	1.332886	1.892004	1.375501	3307.105265	8.781093	9.648833	5.192718	estimated from 12,000-genome default runtime multiplied by the 300-genome sensitive/default runtime ratio	12000
1.000000	75-90	TurboANI-default	43714	43705	0.999794	866	0.019811	2.431037	6.280081	2.506009	1418.000000	20.479549	4.137167	12.110623	user-provided 12,000-genome default-mode runtime	12000
1.000000	75-90	TurboANI-fast	43714	42173	0.964748	404	0.009242	3.666946	14.310147	3.782875	709.000000	40.959097	2.001000	25.039314	user-provided 12,000-genome fast-mode runtime	12000
1.000000	75-85	fastANI	42724	42724	1.000000	8	0.000187	2.766790	7.841928	2.800344	29040.000000	1.000000	50.103667	1.000000	user-provided 12,000-genome fastANI runtime	12000
1.000000	75-85	superani	42724	40116	0.938957	82	0.001919	2.491253	6.453923	2.540457	4258.135600	6.819886	9.364000	5.350669	user-provided 12,000-genome skani/superani real time	12000
1.000000	75-85	TurboANI-sensitive	42724	42724	1.000000	6884	0.161127	1.344029	1.915994	1.384194	3307.105265	8.781093	9.648833	5.192718	estimated from 12,000-genome default runtime multiplied by the 300-genome sensitive/default runtime ratio	12000
1.000000	75-85	TurboANI-default	42724	42715	0.999789	326	0.007630	2.465389	6.402128	2.530243	1418.000000	20.479549	4.137167	12.110623	user-provided 12,000-genome default-mode runtime	12000
1.000000	75-85	TurboANI-fast	42724	41183	0.963931	5	0.000117	3.729951	14.624850	3.824245	709.000000	40.959097	2.001000	25.039314	user-provided 12,000-genome fast-mode runtime	12000
