genome1	genome2	blastANI
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_001517125.1_ASM151712v1_genomic.fna	81.3961
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_008016805.1_ASM801680v1_genomic.fna	81.5506
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_014649355.1_ASM1464935v1_genomic.fna	81.5141
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_014649615.1_ASM1464961v1_genomic.fna	81.492
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_016893525.2_ASM1689352v2_genomic.fna	81.5315
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_036226585.1_ASM3622658v1_genomic.fna	82.0917
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_040296585.1_ASM4029658v1_genomic.fna	81.9758
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_044755365.1_ASM4475536v1_genomic.fna	81.2015
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_048656505.1_ASM4865650v1_genomic.fna	79.8243
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_049998235.1_ASM4999823v1_genomic.fna	81.9881
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_049998315.1_ASM4999831v1_genomic.fna	81.6542
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_050604645.1_ASM5060464v1_genomic.fna	81.4979
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_050605165.1_ASM5060516v1_genomic.fna	81.61
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_050605505.1_ASM5060550v1_genomic.fna	81.5871
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_050608825.1_ASM5060882v1_genomic.fna	81.5572
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_963761325.1_MFD05502.bin.1.233_genomic.fna	79.8757
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_965650905.1_SRR15517647_binner13_Refined_2_genomic.fna	81.3803
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_965654005.1_SRR29654717_concoct_46_genomic.fna	80.6953
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_000367365.1_ASM36736v1_genomic.fna	81.0724
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_000695235.1_ASM69523v1_genomic.fna	81.2268
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_000716335.1_ASM71633v1_genomic.fna	82.888
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_000717745.1_ASM71774v1_genomic.fna	80.989
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_000719655.1_ASM71965v1_genomic.fna	82.2722
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_000721105.1_ASM72110v1_genomic.fna	81.3211
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_000721435.1_ASM72143v1_genomic.fna	81.6873
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_000725705.1_Doro.v1.0_genomic.fna	82.0396
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001013905.1_sleC34_genomic.fna	81.6916
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001187435.1_ASM118743v1_genomic.fna	81.3372
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001279485.1_ASM127948v1_genomic.fna	82.1125
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001280885.1_ASM128088v1_genomic.fna	82.1378
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001418135.1_ASM141813v1_genomic.fna	88.7115
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001418175.1_ASM141817v1_genomic.fna	81.4809
