genome1	genome2	orthoANIu
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_001517125.1_ASM151712v1_genomic.fna	78.7867
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_008016805.1_ASM801680v1_genomic.fna	78.4785
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_014649355.1_ASM1464935v1_genomic.fna	78.8023
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_014649615.1_ASM1464961v1_genomic.fna	78.6489
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_016893525.2_ASM1689352v2_genomic.fna	78.7756
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_036226585.1_ASM3622658v1_genomic.fna	79.4899
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_040296585.1_ASM4029658v1_genomic.fna	79.0498
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_044755365.1_ASM4475536v1_genomic.fna	78.4825
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_048656505.1_ASM4865650v1_genomic.fna	76.6812
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_049998235.1_ASM4999823v1_genomic.fna	79.4972
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_049998315.1_ASM4999831v1_genomic.fna	78.9623
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_050604645.1_ASM5060464v1_genomic.fna	78.7602
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_050605165.1_ASM5060516v1_genomic.fna	78.8756
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_050605505.1_ASM5060550v1_genomic.fna	78.8794
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_050608825.1_ASM5060882v1_genomic.fna	78.7569
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_963761325.1_MFD05502.bin.1.233_genomic.fna	76.7087
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_965650905.1_SRR15517647_binner13_Refined_2_genomic.fna	78.6227
GCA_001443625.1_ASM144362v1_genomic.fna	GCA_965654005.1_SRR29654717_concoct_46_genomic.fna	77.9681
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_000367365.1_ASM36736v1_genomic.fna	78.1467
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_000695235.1_ASM69523v1_genomic.fna	77.9853
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_000716335.1_ASM71633v1_genomic.fna	80.8149
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_000717745.1_ASM71774v1_genomic.fna	78.0297
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_000719655.1_ASM71965v1_genomic.fna	79.6683
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_000721105.1_ASM72110v1_genomic.fna	78.3085
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_000721435.1_ASM72143v1_genomic.fna	78.8389
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_000725705.1_Doro.v1.0_genomic.fna	79.5375
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001013905.1_sleC34_genomic.fna	78.8358
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001187435.1_ASM118743v1_genomic.fna	77.9605
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001279485.1_ASM127948v1_genomic.fna	79.298
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001280885.1_ASM128088v1_genomic.fna	79.3431
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001418135.1_ASM141813v1_genomic.fna	87.5442
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001418175.1_ASM141817v1_genomic.fna	78.2108
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001427565.1_Root63_genomic.fna	79.3152
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001493375.1_Streptomyces_specialis_genomic.fna	76.2856
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001751255.1_ASM175125v1_genomic.fna	76.4369
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001941845.1_ASM194184v1_genomic.fna	79.4811
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001970135.1_ASM197013v1_genomic.fna	78.7239
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_002300165.1_ASM230016v1_genomic.fna	78.8209
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_002551065.1_ASM255106v1_genomic.fna	79.7478
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_003259355.1_ASM325935v1_genomic.fna	76.0872
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_003977835.1_ASM397783v1_genomic.fna	78.5495
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_004122755.1_ASM412275v1_genomic.fna	78.1127
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_004524875.1_ASM452487v1_genomic.fna	79.1021
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_004684805.1_ASM468480v1_genomic.fna	77.8257
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_005405925.1_ASM540592v1_genomic.fna	77.4676
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_005519465.1_ASM551946v1_genomic.fna	79.2114
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_005869865.1_ASM586986v1_genomic.fna	78.3623
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_005981935.1_ASM598193v1_genomic.fna	80.079
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_009862245.1_ASM986224v1_genomic.fna	79.5561
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_009862405.1_ASM986240v1_genomic.fna	77.7781
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_009865405.1_ASM986540v1_genomic.fna	79.3004
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_010548705.1_ASM1054870v1_genomic.fna	79.5776
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_014138545.1_ASM1413854v1_genomic.fna	78.8828
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_014207295.1_ASM1420729v1_genomic.fna	78.7029
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_014648555.1_ASM1464855v1_genomic.fna	75.1123
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_014648695.1_ASM1464869v1_genomic.fna	77.8976
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_014649415.1_ASM1464941v1_genomic.fna	79.2868
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_014649435.1_ASM1464943v1_genomic.fna	78.5987
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_014649515.1_ASM1464951v1_genomic.fna	78.8521
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_008016805.1_ASM801680v1_genomic.fna	81.7831
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_014649355.1_ASM1464935v1_genomic.fna	82.864
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_014649615.1_ASM1464961v1_genomic.fna	82.8413
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_016893525.2_ASM1689352v2_genomic.fna	82.9436
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_036226585.1_ASM3622658v1_genomic.fna	78.6506
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_040296585.1_ASM4029658v1_genomic.fna	81.7569
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_044755365.1_ASM4475536v1_genomic.fna	82.1152
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_048656505.1_ASM4865650v1_genomic.fna	77.117
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_049998235.1_ASM4999823v1_genomic.fna	78.5235
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_049998315.1_ASM4999831v1_genomic.fna	87.378
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_050604645.1_ASM5060464v1_genomic.fna	92.4581
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_050605165.1_ASM5060516v1_genomic.fna	92.6207
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_050605505.1_ASM5060550v1_genomic.fna	92.6327
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_050608825.1_ASM5060882v1_genomic.fna	92.5951
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_963761325.1_MFD05502.bin.1.233_genomic.fna	76.6976
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_965650905.1_SRR15517647_binner13_Refined_2_genomic.fna	80.823
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_965654005.1_SRR29654717_concoct_46_genomic.fna	81.1107
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_000367365.1_ASM36736v1_genomic.fna	81.4886
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_000695235.1_ASM69523v1_genomic.fna	77.9662
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_000716335.1_ASM71633v1_genomic.fna	79.007
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_000717745.1_ASM71774v1_genomic.fna	78.0707
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_000719655.1_ASM71965v1_genomic.fna	78.5617
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_000721105.1_ASM72110v1_genomic.fna	82.7352
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_000721435.1_ASM72143v1_genomic.fna	82.9957
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_000725705.1_Doro.v1.0_genomic.fna	78.364
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001013905.1_sleC34_genomic.fna	84.323
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001187435.1_ASM118743v1_genomic.fna	77.9784
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001279485.1_ASM127948v1_genomic.fna	78.2696
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001280885.1_ASM128088v1_genomic.fna	78.0459
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001418135.1_ASM141813v1_genomic.fna	78.8809
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001418175.1_ASM141817v1_genomic.fna	82.9502
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001427565.1_Root63_genomic.fna	78.5618
